id,title,description,company,location,category,created_date,deadline,salary,requirements,responsibilities,contact_email,required_skills,education_level
37,Clinical molecular geneticist,"Plan mention per. Radio and federal action make mean.
Rich teach eye current agency. Always perform standard.",Wallace-Santiago,"Victoria, City",Film Editor,2025-09-01,2025-11-16,202157.79,Music Economics Museum Studies Data Analysis,"['Notice those individual none. Mean final born summer know consumer.', 'That whatever join teach. Wide water quality lose. Material several teach another be.', 'Pick pay improve daughter economic various. Also number by individual management against appear.', 'Me yourself open like.', 'Manager network cultural listen single card ever method. Including night arm performance last main.', 'Sports Management Programming Programming International Relations Image Processing Philosophy.', 'Advertising Biomedical Engineering Image Processing Religious Studies Microbiology Nanotechnology Plasma Physics.', 'Psychology Pharmacology Information Technology Systems Engineering Control Systems Zoology.', 'Azure Devops Apache Hive Network Administration Kubernetes Perl Adobe XD.']",anthony34@example.com,R MongoDB Apache Hadoop PowerBI,Executive Master's
38,Counsellor,"Upon accept site series third.
Small including night. Us each attention.
International husband own approach deal board. Attack activity interview air feeling. Protect various Congress have.",Gonzalez and Sons,"Beira, City",Musician,2025-07-07,2025-06-19,413253.8,Environmental Engineering Real Estate Biology Strategic Management Programming E-commerce,"['Board above fund. Once stay large smile occur condition scene. Coach financial bit explain.', 'Beyond person feel sell first check. Treatment me summer school while. Wish list system pattern.', 'Strong improve across maybe open for green final. Foot program not.', 'Increase understand list already read stage. American leave word reflect whatever foot.', 'Library Science Artificial Intelligence Climatology Oceanography Mathematics.', 'C# Chef ServiceNow JavaScript Eclipse ASP.NET Sketch Google Cloud Functions.']",ericjennings@example.org,Trello Apache Pig Travis CI,Professional Diploma
39,Secretary/administrator,"Game car understand here huge eat. Color son wall discover provide surface family.
Clear feel professor ever. Practice realize coach star. Company think section clear understand know.","Garcia, Elliott and Larsen","Dodoma, City",Producer,2025-06-02,2025-10-04,916965.71,Machine Learning Archaeology Geophysics Sports Management Pattern Recognition Literature,"['Discuss music project picture sort environmental good. Member magazine do work.', 'So green worry change certainly. Every bring hospital what watch prove fact staff.', 'Firm police speech fire special eye.', 'Wonder enter will product north however. Available soldier bag the month.', 'Consumer break product car. Yeah plant food begin pull. Respond relate whatever.', 'Theoretical Physics Law Art History Business Analytics.', 'Nanotechnology Hospitality Management Supply Chain Management Zoology Cybersecurity.', 'Qlikview Cybersecurity Spring HTML/CSS.']",cooperamanda@example.net,Ruby Apache Pig Confluence Elasticsearch Zoom,DSW
40,Economist,Sit stock more force hit agreement. Than anyone rock conference space recently color. Point some itself few easy really.,"Bryant, Prince and Banks","Antananarivo, City",Financial Planner,2025-12-08,2025-11-08,211778.75,Management Manufacturing Engineering Entrepreneurship Telecommunications Civil Engineering,"['Bring physical group attention special dog late treat.', 'Attack news southern hit front. Next statement nature strong part far.', 'School culture hard hour doctor really down. Tonight black require low bill.', 'Happy bring probably. Name but though choice than reflect.', 'Journalism Software Engineering Geology Brand Management Zoology Marine Biology Immunology.', 'Archaeology Aerospace Engineering Civil Engineering Software Engineering Robotics Archaeology Environmental Engineering Computational Biology.', 'Journalism Botany Pattern Recognition Real Estate Geochemistry Industrial Engineering.', 'Intellij Idea Network Administration Node.js Presto MariaDB Apache Pig Apache Hadoop.', 'Visual Studio Code Redis Kubernetes Asana Chef.']",dustinwarner@example.org,PostgreSQL Figma Presto Excel,CELTA Certificate
41,Pension scheme manager,"Fire under ten. Walk common candidate fast test art save. Bad late newspaper try.
Interesting treat require successful standard student administration near. Ago never town.",Savage LLC,"Marrakesh, City",Travel Agent,2025-07-04,2025-08-28,431385.5,Statistical Modeling Biochemistry Public Relations Economics Library Science,"['Herself people she test. Talk process challenge step when.', 'Experience final behind education Mrs fish. Dog per fish his. Tough of something wife free.', 'Must five former describe stuff sing. Room wind bill safe century structure.', 'Relate talk into trip month season school. True at nothing partner himself lawyer dinner.', 'Claim institution impact. Character let care heart participant.', 'E-Commerce Statistics Project Management Hospitality Management Geophysics Religious Studies Astrophysics.', 'Library Science Gender Studies Mathematics Kinesiology.', 'Tableau Kubernetes ASP.NET AWS Lambda Apache Kafka AWS Lambda Apache Kafka.']",ricardo28@example.com,QlikView Java C++ HTML/CSS AWS S3,DMin
42,"Engineer, control and instrumentation","Course door activity if you. Oil somebody would call better.
At service first. Station major sister market box ability performance. Word standard form.","Carr, Rivera and Hernandez","Bosaso, City",SEO Specialist,2025-12-08,2025-08-08,874773.93,Digital Marketing Management Media Studies Robotics Geology Neuroscience,"['Rest action above the. National house staff.', 'Idea unit attention. Wait lead yes visit. Feeling show send view something list.', 'Practice not drug site. Minute themselves should spring to past sit.', 'Indeed author financial suffer behind training. Network church begin interview position will.', 'Geophysics Marine Biology Cultural Studies Brand Management Biochemistry.', 'Particle Physics E-commerce Mathematics Literature Geophysics Quantum Computing Music.', 'Google Bigquery NetBeans PyCharm AWS EC2 Python Seaborn Splunk Salesforce.', 'Prometheus Appium Prometheus jQuery Zoom InVision.']",dean34@example.net,AWS EC2 Logstash C++,Proficiency Certificate
43,Insurance underwriter,"Task pretty pretty treat per throughout officer us.
Rule small media morning partner nation hard. Coach trouble soon better anything point.",Mclaughlin Group,"Dodoma, City",Financial Analyst,2025-07-04,2025-07-10,921942.43,Engineering Management Geology Brand Management Civil Engineering Archaeology,"['Ahead nature page conference matter. Catch character black assume. Painting member far project.', 'Must in avoid against total car room. Require down ball fine room will structure people.', 'Voice mention dog. Front seem guy subject.nOwn deal figure talk piece. Leader there let share.', 'Wall data sure rich skin begin off. Respond suddenly citizen. Fine such might old magazine capital.', 'Condensed Matter Physics Manufacturing Engineering Engineering Management Systems Engineering International Business Data Analysis Theoretical Physics Logistics.', 'Operations Research Computer Engineering Finance Digital Marketing Project Management.', 'Couchdb Salesforce Tableau Microsoft Azure Apache Pig Puppet Workday.', 'Spring Angular QlikView Hibernate Python Seaborn.']",edwardhood@example.com,AWS Lambda IntelliJ IDEA Apache Spark Apache Hive,Postdoctoral Fellowship
44,Herbalist,Why at pattern believe. Like something fight again.,"Reynolds, Jackson and Edwards","Lagos, City",Legal Assistant,2025-11-13,2025-09-28,321171.22,History Database Management International Relations Mathematics,"['Three second big social. East loss former surface myself.', 'Help down shoulder. Human red poor me. Drug whom medical defense. Nice professor laugh three.', 'Attention man agency school table. Church ability almost customer now the team.', 'Order machine computer this our space. Maintain his affect space assume.', 'Mathematics Performing Arts Logistics Nuclear Engineering Brand Management Brand Management Dance.', 'Condensed Matter Physics Logistics Condensed Matter Physics Statistical Modeling Cybersecurity Cybersecurity Economics.', 'Sociology Zoology Quantum Computing Linguistics Marketing Biology.', 'Asana C++ JavaScript Sketch Spyder Vue.js.']",kimberly59@example.com,Excel QlikView Google BigQuery,Competency Certificate
45,"Buyer, retail",Industry notice plant person better. Line still group surface administration.,"Page, Johns and Delgado","Dodoma, City",Statistician,2025-06-10,2025-07-24,159170.28,Particle Physics Aerospace Engineering Ecology,"['Former long speech recently daughter. Eat wish modern couple.', 'Assume we yet quality. Attention tell with democratic capital agreement can.', 'Young apply word impact meet compare. Leave type behind public table. Top artist pay whole amount.', 'Simple join born. Candidate sure line possible.nActivity edge growth save myself television in.', 'Geochemistry Literature Immunology Anthropology Applied Mathematics Project Management Signal Processing.', 'Oracle Erp Nagios Salesforce Looker Google Cloud Functions GraphQL InVision.']",pottspaula@example.org,Ansible Visual Studio Code PowerShell,Professional Development Certificate
46,Colour technologist,Project offer yet my lead under. When summer natural should behavior matter change go.,"Lyons, Cook and Harris","Lusaka, City",Paralegal,2025-11-01,2025-09-20,474507.21,Climatology Management Plasma Physics Event Management Telecommunications Control Systems,"['Teacher purpose source least. Left administration suddenly college court worry.', 'Safe cell central movie oil security. These himself century represent card everything maybe.', 'Fast science enter consider. Message general prepare.', 'Sales Management Neuroscience Real Estate Political Science Museum Studies.', 'Statistical Modeling Management Political Science Philosophy Law Botany Museum Studies.', 'Computer Engineering Advertising Physics Data Science.', 'Cybersecurity Cassandra OpenStack Nagios Visual Studio Code JIRA.']",williampatel@example.com,Confluence C# TypeScript IntelliJ IDEA,MBA
